V1,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - Engineering,Collegiate Senator - Engineering,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus
ResponseID,Alejandra Melgoza - Independent,Austin Hechler - Campus United,Jose Magana - Peer Action Coalition (PAC),Write-In,Write-In-TEXT,Write-In,Write-In-TEXT,Write-In,Write-In-TEXT,Ashcon Minoiefar - Campus United,Neha Nayak - Campus United,Stevan Abdalmalik - The Response,Victor Garcia - Peer Action Coalition (PAC),"Josephine ""Josie"" Ampaw - Independent",Cameron Demille - Peer Action Coalition (PAC),"Felipe ""Flippy"" Recinos Quant - The Response","Williams ""Willie"" Roman - The Response",Marjan Abubo - The Response,Alexander Giolito - Campus United,Tamar Barlev - Campus United,Jasmine Sandhu - Campus United,Kimberly Fuentes Carrillo - Peer Action Coalition (PAC),Steven Kwok - Peer Action Coalition (PAC),"Richard ""Rick"" Zierer - Peer Action Coalition (PAC)","Emanuel ""Manny"" Suarez Jimenez - Queer and Trans Student Body (QuTSB)",Ezra Kosviner - Campus United,"Jordan ""Robeman"" Mitchell - The Response",Adam Tabor - Peer Action Coalition (PAC),"Matthew ""Matt"" Greenberg - Campus United",Kelvin Campos - Peer Action Coalition (PAC),"Jonathan ""Jonathan Lopez"" Lopez - The Response",Jesse Velasquez - The Response,Leanna Lugo - The Response,Luvia Solis-Barraza - The Response,Maria Hoang - The Response,Reilly Hobson - Campus United,Bianca Fernandez - Campus United,Elias Jordan - Campus United,Cole Marting - Campus United,"Steven ""Digy"" Stovall - Campus United",Patrick Dohoney - Campus United,Rebecca Yadegari - Campus United,Batsheva Stoll - Campus United,"Izabella ""Izzy"" Kipnis - Campus United",Hannah Ellenhorn - Campus United,Ashley Selki - Campus United,Cole Hyatt - The Response,Joel Ruiz - Peer Action Coalition (PAC),Hien Mai - The Response,Sophia Dycaico - Peer Action Coalition (PAC),Sebastian Rubio Ruiz - Peer Action Coalition (PAC),Aaron Hendizadeh - Campus United,Marisol Hernandez - Peer Action Coalition (PAC),Juliano Pula - Peer Action Coalition (PAC),Lesly Silva - The Response,"Bryan ""Bryan"" Samayoa-Velasquez - Campus United","Kuvimbanashe ""Eddy"" Chikukwa - Peer Action Coalition (PAC)","Kou ""KO"" Collins - Peer Action Coalition (PAC)",Conor Collins - Peer Action Coalition (PAC),Unique Vance - The Response,"Yanira ""Jenny"" Flores - The Response",Deanna Nguyen - Campus United,"Sabrina ""Sabrina"" Divin - Peer Action Coalition (PAC)"
R_00000000005667,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005668,3,2,1,1,Natalie Jordan,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,3,5,4,,,
R_00000000005669,2,1,3,,,,,,,1,2,1,3,1,,1,3,2,,,4,,,,,,,,,,1,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005670,2,3,1,,,,,,,,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005671,1,3,2,,,,,,,1,3,1,2,1,,,,,,,,,,,1,,,,,,,,,,,,,6,4,2,,,5,1,,,,,,,,,,,,,,,,,,,
R_00000000005672,2,1,3,,,,,,,1,1,2,3,1,,,,,2,3,1,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000005673,,1,,1,Natalie Jordan ,,,,,1,1,,,,,,,,3,2,1,,,,,,,,,,,,,,,1,11,12,13,2,10,4,5,6,7,8,,,,,,9,,,,,,,,,,,
R_00000000005674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005675,2,1,3,1,Eric Hu ,,,,,1,2,1,3,1,3,1,,4,,,,,2,,,,,,,,,,,,,7,,6,,1,4,5,,2,,,,,,,,,,,,,,,,,,,
R_00000000005676,2,1,3,1,Literally anyone but Manushi,,,,,,3,1,2,1,,,3,2,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,2,5,1,,,
R_00000000005677,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005678,3,1,2,,,,,,,1,1,3,2,,,4,,,2,3,1,,,,,,,,,,,,,,,1,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005679,3,1,2,,,,,,,1,1,2,3,1,,4,,,,,1,2,3,,,,,,,,1,,7,9,6,8,2,5,,4,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005680,2,1,,,,,,,,1,1,3,2,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005681,2,1,3,,,,,,,1,1,2,3,1,,4,,,2,3,1,,,,,,,,,,,,,,,4,5,6,7,2,8,1,9,10,11,12,13,14,,,,,,,,,,,,,,,
R_00000000005682,2,3,1,,,,,,,1,1,3,2,,,4,,,,,2,3,,,1,,,,,,7,6,,,14,,1,,,,,,13,12,,,,5,8,11,4,9,2,10,,,,,,,,,
R_00000000005683,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005684,2,1,3,,,,,,,1,1,3,2,1,,,,,2,3,1,,4,,,,,,,,,,,,,1,2,4,5,6,7,8,9,10,11,12,,,,,,13,,14,,,,,,,,,
R_00000000005685,2,1,3,,,,,,,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
R_00000000005686,1,,,,,,,,,1,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
R_00000000005687,,1,,1,Natalie Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005688,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,1,3,2,,,,,,,,,,,,,,,9,2,10,4,11,1,,8,5,,6,,,,,,7,,,,,,,,,,,
R_00000000005689,2,1,3,,,,,,,1,2,1,3,1,4,,,,2,1,,3,,,,,,,,,,,,2,1,,,12,,,,,14,,13,11,10,6,9,,8,5,7,4,,,,,,,,,
R_00000000005690,2,1,3,2,Josh Lynch,3,Kyle Schlitz ,1,Mateo Rojas ,1,1,2,3,1,1,,4,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1
R_00000000005691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005692,2,1,,,,,,,,1,1,2,3,1,,4,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,3,,4,,,
R_00000000005693,1,2,3,,,,,,,,1,2,3,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
R_00000000005694,1,3,2,1,Natalie Jordan,2,Manushi Yapabandara,,,1,3,1,2,1,,1,2,,3,,,4,,,,,,,,,12,,11,13,1,,14,,,7,,8,,,,9,2,4,5,,,,10,6,,,,,,,,,
R_00000000005695,,,,1,Austin,2,Jose,3,Alejandra,1,3,1,2,1,,4,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
R_00000000005696,2,1,3,,,,,,,1,3,1,2,1,,1,,3,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,4,3,2,1,,,
R_00000000005697,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000005698,1,3,2,,,,,,,1,2,3,1,1,,4,,,,,,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,4,,5,,,
R_00000000005699,2,3,1,,,,,,,,2,3,1,,,,,2,,1,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1
R_00000000005700,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005701,1,2,3,,Natalie Jordan,,,,,1,3,1,2,,,2,1,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,1,,,
R_00000000005702,2,3,1,1,Natalie Jordan ,,,,,,1,3,2,,,,,,,2,,3,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,,,1,,,
R_00000000005703,3,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005704,3,1,2,1,Natalie Jordan,2,Artem Vikulov,,,1,1,3,2,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000005705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000005706,2,1,3,1,Natalie Jordan,,,,,1,1,2,3,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,2,4,5,,,
R_00000000005707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005708,,,,,,,,,,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,
R_00000000005709,,1,,,,,,1,Natalie Jordan ,1,1,,,1,,,,,2,3,1,,,,,,,,,,,,,,,13,12,11,10,9,8,7,6,4,5,2,,,,,,1,,,,,,,,,,,
R_00000000005710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005713,3,1,2,,,,,,,1,1,2,3,1,,,,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,2,,4,,,
R_00000000005714,3,1,2,,,,,,,1,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005715,1,3,2,,,,,,,1,3,1,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005716,1,2,3,,,,,,,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005717,3,1,2,,,,,,,1,1,2,3,1,,,,,1,3,2,,,,4,,,,,,,,,,,5,4,,6,1,2,7,13,8,9,10,,,,14,12,11,,,,,,,,,,,
R_00000000005718,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005719,1,3,2,,,,,,,1,2,3,1,1,,,,2,,,3,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000005720,3,1,2,1,Natalie Jordan,,,,,1,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005722,1,3,2,1,Manushi Yapabandara,,,,,1,3,1,2,1,,,4,1,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3
R_00000000005723,3,2,1,,,,,,,1,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005724,3,1,2,,,,,,,1,1,2,3,1,,,,1,3,2,4,,,,,,,,,,,,,2,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,
R_00000000005725,2,1,3,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,4,,,,,,,,,,,,,
R_00000000005726,3,1,2,,,,,,,,2,1,3,1,,2,1,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3
R_00000000005727,1,3,2,,,,,,,1,3,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005728,2,1,3,,,,,,,1,2,1,3,1,,3,,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,5,4,2,,,
R_00000000005729,3,1,2,,,,,,,1,1,,,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
R_00000000005730,2,3,1,,,,,,,1,3,1,2,1,,1,2,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005731,3,1,2,,,,,,,1,2,3,1,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,3,4,,,
R_00000000005732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000005733,1,3,2,,,,,,,1,,1,,1,4,1,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,3,5,2,,,
R_00000000005734,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000005735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,6,7,13,,8,,11,,10,9,,,1,,,12,,,14,,,,,,,,,,,
R_00000000005736,1,3,2,,,,,,,1,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005737,3,1,2,,,,,,,1,3,2,1,,,,1,,,2,,,3,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000005738,3,1,2,1,Natalie Jordan,,,,,1,2,3,1,1,,,,,2,4,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,,2,3,,,
R_00000000005739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000005741,3,2,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000005742,3,1,2,1,Austin Hechler,2,Jose Magana,3,Alejandra Melgoza,1,2,1,3,1,,2,1,3,,4,,,,,,,,,,,1,2,4,5,6,,,,,,,14,13,12,11,10,7,,8,,,9,,,,,,,,,,,
R_00000000005743,2,3,1,1,Jose Magana,3,Austin Hechler,2,Alejandra Melgoza,1,2,3,1,1,,2,,,3,1,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005744,,,,1,Manushi Yapabandara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005745,1,3,2,,,,,,,1,3,1,2,1,,2,4,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2
R_00000000005746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005747,1,3,2,,,,,,,1,1,2,3,1,3,,,,,,,1,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3
R_00000000005748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005749,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
R_00000000005750,2,3,1,,,,,,,1,2,1,3,1,3,1,,,,2,,4,,,,,,,,,1,10,12,14,2,,,5,,,,9,,6,,,4,8,7,,,,13,11,,,,,,,,,
R_00000000005751,1,3,2,,,,,,,1,3,2,1,1,,2,1,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,4,5,1,,,
R_00000000005752,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005753,1,2,3,,,,,,,1,3,2,1,1,2,,,1,,4,,,,,3,,,,,,,,,,,,,,1,2,4,5,6,7,8,9,10,11,12,13,14,,,,,,,,,,,,
R_00000000005754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005755,2,1,3,1,Natalie Jordan,,,,,,1,2,3,1,,,4,,2,1,3,,,,,,,,,,,,,,,13,1,8,6,9,7,4,5,10,2,11,,,,,,12,,,,,,,,,,,
R_00000000005756,2,1,3,,,,,,,1,1,3,2,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000005757,1,2,3,,,,,,,1,1,3,2,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005758,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005759,3,2,1,1,Manushi Yapabandara,2,Natalie Jordan,,,1,2,3,1,1,,,3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,1,4,2,,,
R_00000000005760,2,1,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005761,3,1,2,1,Neha Nayak,,,,,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005762,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005763,2,1,3,,,,,,,,2,1,3,1,,1,2,3,,,,,,,,,,,,,1,2,4,5,6,,,,,,,,,,,,7,,8,,,,,,,,,,,,,,
R_00000000005764,3,2,1,,,,,,,1,1,,,1,,4,,,,1,2,,,,3,,,,,,6,8,5,11,14,12,4,2,7,9,10,13,,,,,,,,1,,,,,,,,,,,,,
R_00000000005765,,2,1,,,,,,,1,,1,,1,2,,,,,1,4,,,,3,,,,,,,,,,,,,,1,,,4,,,,,5,,,,,2,,,,,,,,,,,
R_00000000005766,3,1,2,,,,,,,1,1,3,2,1,,,3,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,5,3,4,,,
R_00000000005767,2,3,1,1,Jose Magna,2,Alejandra Melgoza,3,Austin Helcher,1,3,2,1,1,,,,1,,3,2,,,,4,,,,,,8,6,5,13,4,,,,,1,,,7,12,,11,,,14,10,,,9,2,,,,,,,,,
R_00000000005768,,,,,,,,,,,,,,,,2,3,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,4,1,,,
R_00000000005769,,1,,1,Natalie Jordan ,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005770,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005771,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
R_00000000005772,1,3,2,,,,,,,1,2,1,3,1,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3
R_00000000005773,,1,,,,,,,,1,1,,,,,,,,3,2,1,,,,,,,,,,,,,,,,,4,,,,,,2,1,,,,,,,,,,,,,,,,,,
R_00000000005774,,1,,,Natalie Jordan,,,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,4,,,,,,,,,,,,,
R_00000000005775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
R_00000000005776,3,1,2,,,,,,,1,1,2,3,,4,,,,3,1,2,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,4,,,,,,,,,
R_00000000005777,1,3,2,,,,,,,1,3,2,1,1,,3,,,,1,,4,,,2,,,,,,2,,,9,,,5,13,,4,14,7,,1,12,,8,6,,,,10,11,,,,,,,,,,
R_00000000005778,1,3,2,,,,,,,1,3,1,2,1,,3,1,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,5,4,2,,,
R_00000000005779,1,3,2,,,,,,,,3,1,2,1,3,,4,2,,,,,,,1,,,,,,1,2,4,6,5,,,,,,,,,,14,13,,7,8,9,10,,11,12,,,,,,,,,
R_00000000005780,1,3,2,,,,,,,1,3,1,2,1,,3,,,,1,,4,,,2,,,,,,,2,4,6,5,,7,,,,,8,,9,14,10,,,11,1,12,,,13,,,,,,,,,
R_00000000005781,1,2,3,,,,,,,1,2,1,3,1,,3,2,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2
R_00000000005782,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005783,3,1,2,,,,,,,1,3,1,2,1,,4,,,2,1,3,,,,,,,,,,,,,,4,2,13,12,1,10,11,8,9,5,14,7,,,,,,6,,,,,,,,,,,
R_00000000005784,1,2,3,,,,,,,,,,,,,3,,4,,,,,,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000005785,3,1,2,1,Austin Hechler,2,Jose Magana,3,Alejandra Melgoza,1,3,2,1,1,2,,,1,,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,5,1,,,,
R_00000000005786,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005787,2,3,1,,,,,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,4,,3,,,
R_00000000005788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005789,1,3,2,,,,,,,1,2,3,1,1,,4,,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,2,4,5,,,
R_00000000005790,3,1,2,1,Natalie Jordan,,,,,1,1,3,2,1,4,,,,2,1,3,,,,,,,,,,,,,,,,13,12,11,10,9,8,7,6,5,4,,,,1,,2,,,,,,,,,,,
R_00000000005791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005792,1,2,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,
R_00000000005793,3,1,2,1,Austin Hechler,2,Jose Magana,3,Alejandra Melgoza,,,,,1,1,,3,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
R_00000000005794,1,3,2,,,,,,,1,2,3,1,1,,2,,,,,4,1,,,3,,,,,,5,4,11,6,12,,7,,,,,8,,13,,,,9,,10,14,,1,2,,,,,,,,,
R_00000000005795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,2,,,
R_00000000005796,2,3,1,,,,,,,1,2,1,3,1,,1,,,,,,2,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2
R_00000000005797,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,1,2,3,,,,,,,,,,,,,,,1,2,4,5,6,7,8,9,10,11,12,,,,,,13,,,,,,,,,,,
R_00000000005798,2,3,1,,,,,,,1,2,1,3,1,,,,2,3,4,,1,,,,,,,,,,6,14,,5,12,13,,,,,7,2,,,,1,,9,8,,10,4,11,,,,,,,,,
R_00000000005799,,,,,Victor Espinosa,,,,,1,2,3,1,1,,,,,3,2,,,1,4,,,,,,,2,,,,4,5,8,,,1,,,13,6,,,10,,,12,14,7,9,11,,,,,,,,,
R_00000000005800,1,3,2,,,,,,,,3,1,2,1,,2,1,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005801,3,1,2,1,natalie jordan,2,natalie jordan,3,natalie jordan,1,,,,1,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,4,,,,,,,,,
R_00000000005802,1,3,2,1,Natalie Jordan,,,,,,3,1,2,1,,2,4,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,4,3,2,,,
R_00000000005803,1,3,2,,,,,,,1,3,1,2,1,,2,1,3,,,,,,4,,,,,,,2,4,5,6,7,,,,,,,,,,,,1,11,8,12,13,10,14,9,,,,,,,,,
R_00000000005804,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
R_00000000005805,1,2,3,,,,,,,1,2,1,3,1,,,,3,1,2,4,,,,,,,,,,12,11,10,7,,,14,,,,4,1,5,8,9,2,,,13,,,6,,,,,,,,,,,
R_00000000005806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
